                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.83819,                 1.9162,                 1.2288,                0.45538,                0.08353,                0.08839,                0.06766,                    nan,                    nan,                    nan,              0.0004852,              0.0004852,              0.0004852
                     55,                0.84776,                 1.9176,                  1.226,                0.39713,                0.02797,                0.03288,                0.02811,                    nan,                    nan,                    nan,              0.0004753,              0.0004753,              0.0004753
                     56,                0.85078,                 1.9289,                 1.2234,                0.52389,                0.08353,                0.08943,                0.06653,                    nan,                    nan,                    nan,              0.0004654,              0.0004654,              0.0004654
                     57,                 0.8627,                 1.9211,                 1.2338,                0.41064,                0.02797,                0.03475,                0.03128,                    nan,                    nan,                    nan,              0.0004555,              0.0004555,              0.0004555
                     58,                0.83536,                 1.9058,                 1.2215,                0.92163,                0.02797,                0.03368,                0.02846,                    nan,                    nan,                    nan,              0.0004456,              0.0004456,              0.0004456
                     59,                0.82759,                 1.9044,                 1.1973,                0.89369,                0.02797,                0.03211,                0.02921,                    nan,                    nan,                    nan,              0.0004357,              0.0004357,              0.0004357
                     60,                0.81137,                 1.8848,                 1.1874,                 0.4348,                0.07944,                0.08031,                0.06602,                    nan,                    nan,                    nan,              0.0004258,              0.0004258,              0.0004258
                     61,                0.81457,                  1.903,                 1.1923,                0.73849,                0.02797,                0.03803,                0.03227,                    nan,                    nan,                    nan,              0.0004159,              0.0004159,              0.0004159
                     62,                0.81794,                 1.8726,                 1.2027,                0.44303,                0.08353,                0.08836,                0.07269,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     63,                0.86094,                  1.915,                 1.2248,                0.54827,                0.08301,                0.08148,                0.06348,                    nan,                    nan,                    nan,              0.0003961,              0.0003961,              0.0003961
                     64,                0.86776,                 1.9279,                 1.2352,                0.38596,                0.02797,                0.03252,                0.02927,                    nan,                    nan,                    nan,              0.0003862,              0.0003862,              0.0003862
                     65,                0.79885,                 1.8369,                 1.1929,                 0.5208,                0.08353,                0.08964,                0.07009,                    nan,                    nan,                    nan,              0.0003763,              0.0003763,              0.0003763
                     66,                0.82584,                  1.861,                 1.2019,                0.52013,                0.08353,                0.09039,                0.07716,                    nan,                    nan,                    nan,              0.0003664,              0.0003664,              0.0003664
                     67,                 0.8297,                 1.8865,                 1.2074,                0.74675,                0.02797,                 0.0337,                0.02849,                    nan,                    nan,                    nan,              0.0003565,              0.0003565,              0.0003565
                     68,                0.79569,                 1.8626,                 1.1779,                0.37245,                0.02797,                 0.0319,                0.03015,                    nan,                    nan,                    nan,              0.0003466,              0.0003466,              0.0003466
                     69,                0.82323,                 1.9131,                 1.2094,                0.43034,                0.08353,                0.07989,                0.06133,                    nan,                    nan,                    nan,              0.0003367,              0.0003367,              0.0003367
                     70,                0.81098,                 1.9328,                 1.1976,                0.57375,                0.02797,                0.03243,                0.02919,                    nan,                    nan,                    nan,              0.0003268,              0.0003268,              0.0003268
                     71,                0.80043,                 1.8367,                 1.1817,                0.46481,                0.08353,                0.09099,                0.07299,                    nan,                    nan,                    nan,              0.0003169,              0.0003169,              0.0003169
                     72,                0.80488,                 1.8432,                 1.1804,                0.92838,                0.02797,                0.03118,                0.02946,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     73,                0.81431,                 1.8462,                 1.1823,                0.91206,                0.02797,                0.03117,                0.02805,                    nan,                    nan,                    nan,              0.0002971,              0.0002971,              0.0002971
                     74,                0.78206,                  1.838,                 1.1651,                0.91761,                0.02797,                0.03443,                0.03294,                    nan,                    nan,                    nan,              0.0002872,              0.0002872,              0.0002872
                     75,                0.77953,                 1.8298,                 1.1728,                0.95425,                0.02797,                0.03733,                0.03359,                    nan,                    nan,                    nan,              0.0002773,              0.0002773,              0.0002773
                     76,                0.76414,                 1.7894,                 1.1614,                 0.9272,                0.02797,                0.03667,                  0.033,                    nan,                    nan,                    nan,              0.0002674,              0.0002674,              0.0002674
                     77,                0.77941,                 1.8456,                 1.1741,                0.93907,                0.02797,                 0.0318,                0.02862,                    nan,                    nan,                    nan,              0.0002575,              0.0002575,              0.0002575
                     78,                0.73477,                 1.7782,                 1.1611,                0.95926,                0.02797,                0.03134,                0.02821,                    nan,                    nan,                    nan,              0.0002476,              0.0002476,              0.0002476
                     79,                0.73817,                 1.7749,                  1.136,                  0.935,                0.02797,                0.03223,                0.03081,                    nan,                    nan,                    nan,              0.0002377,              0.0002377,              0.0002377
                     80,                0.74764,                 1.7865,                  1.158,                0.92688,                0.02797,                0.04178,                 0.0376,                    nan,                    nan,                    nan,              0.0002278,              0.0002278,              0.0002278
                     81,                0.75431,                 1.7731,                 1.1521,                0.93588,                0.02797,                 0.0384,                0.03456,                    nan,                    nan,                    nan,              0.0002179,              0.0002179,              0.0002179
                     82,                0.74403,                 1.7851,                 1.1463,                0.73614,                0.02797,                 0.0358,                0.03222,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     83,                0.73465,                 1.7588,                  1.146,                0.52139,                0.08353,                0.09238,                0.07464,                    nan,                    nan,                    nan,              0.0001981,              0.0001981,              0.0001981
                     84,                0.73235,                 1.7531,                 1.1287,                0.97527,                0.02797,                0.03656,                0.03656,                    nan,                    nan,                    nan,              0.0001882,              0.0001882,              0.0001882
                     85,                0.72246,                 1.7447,                 1.1444,                0.56602,                0.08116,                0.09702,                0.08072,                    nan,                    nan,                    nan,              0.0001783,              0.0001783,              0.0001783
                     86,                0.75852,                 1.8114,                 1.1671,                 0.9415,                0.02797,                0.07285,                0.06939,                    nan,                    nan,                    nan,              0.0001684,              0.0001684,              0.0001684
                     87,                0.76345,                 1.8058,                 1.1595,                 0.5237,                0.08353,                0.09792,                0.08069,                    nan,                    nan,                    nan,              0.0001585,              0.0001585,              0.0001585
                     88,                0.74901,                 1.7656,                 1.1614,                0.54632,                0.08353,                0.09613,                0.07943,                    nan,                    nan,                    nan,              0.0001486,              0.0001486,              0.0001486
                     89,                0.75064,                 1.7734,                 1.1557,                0.96853,                0.02797,                0.03757,                0.03381,                    nan,                    nan,                    nan,              0.0001387,              0.0001387,              0.0001387
                     90,                0.73173,                 1.7469,                 1.1456,                0.56568,                0.08353,                0.09409,                0.07208,                    nan,                    nan,                    nan,              0.0001288,              0.0001288,              0.0001288
                     91,                0.70115,                 1.9364,                 1.1072,                0.91827,                0.02797,                0.03705,                0.03547,                    nan,                    nan,                    nan,              0.0001189,              0.0001189,              0.0001189
                     92,                0.64928,                 1.8312,                 1.0596,                0.37578,                0.08353,                0.08504,                0.07049,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
                     93,                0.65622,                 1.7932,                 1.0598,                 0.9296,                0.02797,                0.06481,                0.05833,                    nan,                    nan,                    nan,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.63522,                 1.7044,                 1.0434,                0.79122,                0.04079,                0.08242,                0.07085,                    nan,                    nan,                    nan,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.63346,                 1.7267,                 1.0518,                 0.8024,                0.02797,                0.06481,                0.06481,                    nan,                    nan,                    nan,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.63386,                 1.6747,                 1.0643,                0.93905,                0.04079,                0.09822,                0.09504,                    nan,                    nan,                    nan,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 0.6122,                 1.6949,                 1.0522,                0.58741,                0.08353,                0.10876,                0.09174,                    nan,                    nan,                    nan,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.61239,                 1.6507,                 1.0837,                0.53979,                0.08353,                0.11196,                0.09119,                    nan,                    nan,                    nan,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.62405,                 1.6437,                 1.0842,                0.78742,                0.02797,                 0.0691,                0.06527,                    nan,                    nan,                    nan,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.58651,                 1.6869,                 1.0339,                0.79652,                0.02797,                0.06641,                0.05977,                    nan,                    nan,                    nan,               2.98e-05,               2.98e-05,               2.98e-05
