                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0451,                 4.8116,                 4.4296,                 0.0006,                0.12286,                0.00051,                0.00013,                    nan,                    nan,                    nan,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.9219,                 4.4323,                  4.085,                0.00095,                0.19818,                0.00179,                0.00029,                    nan,                    nan,                    nan,             0.00040594,             0.00040594,             0.00040594
                      3,                 2.8451,                 4.0026,                 3.7509,                0.00129,                0.19964,                 0.0024,                0.00051,                    nan,                    nan,                    nan,             0.00060772,             0.00060772,             0.00060772
                      4,                 2.7494,                  3.781,                 3.4818,                0.00124,                0.18449,                0.00194,                 0.0004,                    nan,                    nan,                    nan,             0.00080535,             0.00080535,             0.00080535
                      5,                 2.5827,                 3.5955,                 3.1958,                0.00377,                0.12874,                0.00338,                0.00072,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      6,                  2.468,                 3.5695,                 3.0537,                0.00363,                0.09509,                 0.0033,                0.00082,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.2776,                 3.3826,                  2.883,                0.27899,                0.03365,                0.03842,                0.01612,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                  2.093,                 3.1616,                 2.6971,                0.42709,                0.06838,                0.03962,                0.02133,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.9773,                 3.1206,                  2.553,                0.41769,                0.06217,                0.04545,                0.02785,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7986,                 2.9985,                 2.3251,                 0.1343,                0.04638,                0.04828,                0.02536,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.7264,                 2.8903,                 2.2565,                0.46359,                0.04734,                0.04417,                0.02228,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5782,                 2.8327,                 2.1113,                0.38811,                0.04881,                0.05307,                0.03197,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                 1.5768,                 2.7216,                 2.0465,                0.34869,                0.06269,                0.05572,                0.02953,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4621,                 2.6382,                 1.9388,                0.44394,                0.08074,                0.05877,                 0.0319,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4544,                 2.5533,                 1.8583,                0.47043,                0.08353,                0.06629,                0.04303,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3897,                 2.5487,                 1.8431,                0.31021,                0.08353,                0.06565,                0.04429,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3487,                 2.5159,                 1.7884,                0.40506,                0.08353,                0.06572,                0.04483,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.3066,                 2.4331,                 1.7314,                0.28885,                0.07971,                0.06689,                0.04948,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.2753,                 2.4305,                 1.6926,                0.71133,                0.05449,                0.06462,                0.04037,                    nan,                    nan,                    nan,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.2431,                 2.3653,                 1.6525,                0.42964,                0.08353,                0.07159,                0.05387,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.2269,                 2.3454,                 1.6106,                0.28424,                0.08353,                0.07992,                0.05982,                    nan,                    nan,                    nan,              0.0008119,              0.0008119,              0.0008119
                     22,                  1.227,                 2.3246,                 1.5967,                0.52486,                0.02797,                0.03087,                 0.0247,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                     23,                 1.1971,                  2.233,                 1.5722,                0.21026,                0.02797,                0.03168,                0.02884,                    nan,                    nan,                    nan,              0.0007921,              0.0007921,              0.0007921
                     24,                  1.178,                 2.2528,                 1.5495,                0.46577,                0.08353,                0.07759,                0.05358,                    nan,                    nan,                    nan,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.1573,                  2.283,                  1.536,                0.39102,                0.02797,                0.03276,                0.02762,                    nan,                    nan,                    nan,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.1325,                 2.2318,                 1.4966,                0.57947,                0.01282,                0.03315,                0.02838,                    nan,                    nan,                    nan,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.1223,                 2.2176,                 1.4598,                0.34509,                0.02797,                 0.0316,                 0.0239,                    nan,                    nan,                    nan,              0.0007525,              0.0007525,              0.0007525
                     28,                  1.168,                 2.2358,                 1.4983,                0.46887,                0.08353,                0.07413,                0.05909,                    nan,                    nan,                    nan,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.1284,                 2.2003,                 1.4744,                0.42469,                0.02797,                 0.0315,                0.02556,                    nan,                    nan,                    nan,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.0458,                 2.1226,                 1.4047,                0.56817,                0.02797,                0.03098,                0.02651,                    nan,                    nan,                    nan,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.0686,                  2.139,                 1.4263,                0.53445,                0.02797,                0.03113,                0.02802,                    nan,                    nan,                    nan,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.0707,                  2.157,                 1.4116,                0.41398,                0.02797,                0.03099,                 0.0262,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                     33,                 1.0662,                  2.162,                 1.4284,                0.40577,                0.02797,                0.03097,                0.02788,                    nan,                    nan,                    nan,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.0558,                  2.161,                  1.394,                0.48199,                0.08353,                0.07954,                0.05736,                    nan,                    nan,                    nan,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.0415,                 2.1599,                 1.3935,                0.18526,                0.02797,                  0.031,                0.02826,                    nan,                    nan,                    nan,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.0469,                  2.145,                 1.3829,                0.42191,                0.02797,                0.03288,                  0.031,                    nan,                    nan,                    nan,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.0634,                 2.1434,                 1.4176,                0.42107,                0.02797,                0.03224,                0.02757,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                     38,                0.98701,                 2.0909,                 1.3523,                0.41193,                0.08353,                 0.0715,                0.05206,                    nan,                    nan,                    nan,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.0045,                  2.058,                 1.3422,                0.38357,                0.02797,                0.03103,                0.02793,                    nan,                    nan,                    nan,              0.0006337,              0.0006337,              0.0006337
                     40,                0.99392,                  2.079,                  1.326,                0.43309,                0.08353,                0.08123,                0.06075,                    nan,                    nan,                    nan,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.0275,                 2.0877,                 1.3706,                0.41853,                0.02797,                0.03162,                 0.0253,                    nan,                    nan,                    nan,              0.0006139,              0.0006139,              0.0006139
                     42,                0.96512,                 2.0528,                 1.3337,                0.50883,                0.06964,                0.08129,                0.06837,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     43,                0.95297,                 2.0605,                 1.3153,                 0.9366,                0.02797,                0.03121,                0.02809,                    nan,                    nan,                    nan,              0.0005941,              0.0005941,              0.0005941
                     44,                  0.957,                 2.0397,                 1.2936,                0.41404,                0.02797,                0.03205,                0.02564,                    nan,                    nan,                    nan,              0.0005842,              0.0005842,              0.0005842
                     45,                0.92795,                 2.0044,                 1.2821,                0.40455,                0.02797,                0.03127,                0.02814,                    nan,                    nan,                    nan,              0.0005743,              0.0005743,              0.0005743
                     46,                0.94097,                 1.9923,                 1.2772,                0.40332,                0.02797,                0.03096,                0.02787,                    nan,                    nan,                    nan,              0.0005644,              0.0005644,              0.0005644
                     47,                0.91826,                 1.9986,                 1.2772,                0.40425,                0.02797,                0.03152,                0.02696,                    nan,                    nan,                    nan,              0.0005545,              0.0005545,              0.0005545
                     48,                0.92162,                  2.003,                 1.2829,                0.57188,                0.02797,                0.03123,                0.02986,                    nan,                    nan,                    nan,              0.0005446,              0.0005446,              0.0005446
                     49,                0.87959,                 1.9442,                  1.243,                0.76218,                0.02797,                 0.0312,                0.02496,                    nan,                    nan,                    nan,              0.0005347,              0.0005347,              0.0005347
                     50,                0.90349,                 1.9615,                 1.2688,                0.92245,                0.02797,                0.03141,                0.03003,                    nan,                    nan,                    nan,              0.0005248,              0.0005248,              0.0005248
                     51,                0.88678,                 2.0133,                 1.2699,                0.39081,                0.02797,                0.03279,                0.03133,                    nan,                    nan,                    nan,              0.0005149,              0.0005149,              0.0005149
                     52,                0.85476,                  1.969,                 1.2356,                0.39524,                0.02797,                0.03168,                0.02851,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     53,                0.87029,                 1.9229,                 1.2423,                 0.3882,                0.02797,                0.03542,                0.03157,                    nan,                    nan,                    nan,              0.0004951,              0.0004951,              0.0004951
