                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.96261,                 2.1207,                 1.3417,                0.78832,                0.02797,                0.03785,                0.03785,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                     38,                0.94815,                 2.1048,                 1.3269,                0.48853,                0.08353,                0.07605,                0.05864,                    nan,                    nan,                    nan,              0.0006436,              0.0006436,              0.0006436
                     39,                0.95852,                 2.0861,                 1.3237,                0.47513,                0.08353,                0.07868,                0.06489,                    nan,                    nan,                    nan,              0.0006337,              0.0006337,              0.0006337
                     40,                0.96388,                 2.1222,                 1.3304,                0.48104,                0.08353,                0.07033,                0.05918,                    nan,                    nan,                    nan,              0.0006238,              0.0006238,              0.0006238
                     41,                0.96577,                 2.1318,                 1.3314,                0.41786,                0.02797,                 0.0372,                0.03184,                    nan,                    nan,                    nan,              0.0006139,              0.0006139,              0.0006139
                     42,                0.94064,                 2.0778,                 1.2962,                0.46915,                0.08353,                0.07707,                0.05689,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     43,                0.95827,                 2.1248,                 1.3213,                0.64507,                0.08353,                0.08218,                 0.0631,                    nan,                    nan,                    nan,              0.0005941,              0.0005941,              0.0005941
                     44,                0.91055,                 2.1061,                  1.295,                0.44787,                0.07896,                 0.0742,                0.06058,                    nan,                    nan,                    nan,              0.0005842,              0.0005842,              0.0005842
                     45,                0.92832,                 2.1018,                 1.3229,                0.50384,                0.08353,                0.08576,                0.06134,                    nan,                    nan,                    nan,              0.0005743,              0.0005743,              0.0005743
                     46,                0.90551,                  2.111,                 1.2822,                0.44267,                0.08353,                0.09414,                0.06922,                    nan,                    nan,                    nan,              0.0005644,              0.0005644,              0.0005644
                     47,                0.91577,                 2.1009,                 1.2933,                0.78736,                0.02797,                0.04288,                0.04062,                    nan,                    nan,                    nan,              0.0005545,              0.0005545,              0.0005545
                     48,                0.88812,                 2.1008,                 1.2879,                0.43329,                0.02797,                 0.0444,                0.03996,                    nan,                    nan,                    nan,              0.0005446,              0.0005446,              0.0005446
                     49,                 0.9504,                 2.1213,                 1.3356,                0.31713,                0.04079,                0.04777,                0.04307,                    nan,                    nan,                    nan,              0.0005347,              0.0005347,              0.0005347
                     50,                0.89549,                 2.0994,                 1.2815,                0.45799,                0.08353,                0.08544,                0.06858,                    nan,                    nan,                    nan,              0.0005248,              0.0005248,              0.0005248
                     51,                0.87724,                 2.1171,                 1.2662,                0.60325,                0.02797,                0.03827,                0.03444,                    nan,                    nan,                    nan,              0.0005149,              0.0005149,              0.0005149
                     52,                0.89729,                 2.1192,                 1.2924,                0.40744,                0.02797,                0.04526,                0.03621,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     53,                0.87694,                 2.1101,                 1.2644,                0.39868,                0.02797,                0.04875,                 0.0464,                    nan,                    nan,                    nan,              0.0004951,              0.0004951,              0.0004951
                     54,                0.83103,                 2.0546,                 1.2421,                0.73553,                0.02797,                0.04562,                0.04327,                    nan,                    nan,                    nan,              0.0004852,              0.0004852,              0.0004852
                     55,                0.87184,                 2.0924,                 1.2733,                0.51468,                0.08353,                0.09252,                0.06665,                    nan,                    nan,                    nan,              0.0004753,              0.0004753,              0.0004753
                     56,                0.86597,                 2.0995,                 1.2574,                0.60647,                0.02797,                0.04955,                0.04713,                    nan,                    nan,                    nan,              0.0004654,              0.0004654,              0.0004654
                     57,                0.84848,                  2.082,                 1.2539,                0.76824,                0.02797,                0.03541,                0.02985,                    nan,                    nan,                    nan,              0.0004555,              0.0004555,              0.0004555
                     58,                0.85791,                  2.108,                 1.2565,                0.95244,                0.02797,                0.03222,                0.03041,                    nan,                    nan,                    nan,              0.0004456,              0.0004456,              0.0004456
                     59,                0.83635,                 2.0668,                 1.2474,                0.46554,                0.08353,                0.08286,                0.06986,                    nan,                    nan,                    nan,              0.0004357,              0.0004357,              0.0004357
                     60,                  0.866,                 2.0756,                 1.2785,                0.39274,                0.02797,                 0.0338,                0.03191,                    nan,                    nan,                    nan,              0.0004258,              0.0004258,              0.0004258
                     61,                 0.8369,                 2.0387,                 1.2376,                0.40404,                0.02797,                0.03304,                0.02974,                    nan,                    nan,                    nan,              0.0004159,              0.0004159,              0.0004159
                     62,                0.81919,                 2.0192,                 1.2398,                 0.5547,                0.02797,                0.03756,                0.03592,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     63,                0.79648,                 2.0139,                 1.2235,                 0.5176,                0.08353,                0.09266,                0.07423,                    nan,                    nan,                    nan,              0.0003961,              0.0003961,              0.0003961
                     64,                 0.8389,                 2.0454,                 1.2313,                0.71788,                0.02797,                0.03136,                0.03007,                    nan,                    nan,                    nan,              0.0003862,              0.0003862,              0.0003862
                     65,                0.80241,                 2.0194,                 1.2368,                0.92621,                0.02797,                0.03709,                0.03504,                    nan,                    nan,                    nan,              0.0003763,              0.0003763,              0.0003763
                     66,                0.79445,                 2.0274,                 1.2192,                  0.754,                0.02797,                0.03408,                0.03067,                    nan,                    nan,                    nan,              0.0003664,              0.0003664,              0.0003664
                     67,                0.79706,                 2.0434,                 1.2278,                0.26977,                 0.1519,                 0.1211,                 0.0922,                    nan,                    nan,                    nan,              0.0003565,              0.0003565,              0.0003565
